,productos,url_imagen
0,Viña 3 Monos Cabernet Sauvignon 2019,https://cav.cl/storage/sku_images/31464.jpg
1,Viña 3 Monos Carignan/Garnacha Mirador Del Name Cauquenes 2017,https://cav.cl/storage/sku_images/28727.jpg
2,7 Colores Limited Edition Syrah 2020,https://cav.cl/storage/sku_images/31010.jpg
3,Achaval Ferrer Mendoza Malbec 2021,https://cav.cl/storage/sku_images/31264.jpg
4,Aila Heaven Cabernet Sauvignon Gran Reserva 2021,https://cav.cl/storage/sku_images/28846.jpg
5,Altacima 4090 Cabernet Sauvignon Reserva 2020,https://cav.cl/storage/sku_images/28437.jpg
6,Altacima 6330 Ensamblaje Tinto 2020,https://cav.cl/storage/sku_images/28870.jpg
7,Altacima 4090 Gewurztraminer Reserva 2022,https://cav.cl/storage/sku_images/30187.jpg
8,Viña Andes Plateau Andesita Cabernet Sauvignon 2021,https://cav.cl/storage/sku_images/30629.jpg
9,Antigal Uno Cabernet Sauvignon 2017,https://cav.cl/storage/sku_images/29101.jpg
10,Aquitania Sol De Sol Pinot Noir 2021,https://cav.cl/storage/sku_images/29666.jpg
11,Arboleda Cabernet Sauvignon 2021,https://cav.cl/storage/sku_images/30666.jpg
12,Arboleda Carmenere 2021,https://cav.cl/storage/sku_images/30169.jpg
13,Arboleda Chardonnay 2021,https://cav.cl/storage/sku_images/30170.jpg
14,Arboleda Chardonnay 2022,https://cav.cl/storage/sku_images/31667.jpg
15,Arboleda Chardonnay 2020,https://cav.cl/storage/sku_images/29011.jpg
16,Arboleda Pinot Noir 2020,https://cav.cl/storage/sku_images/28515.jpg
17,Arboleda Pinot Noir 2021,https://cav.cl/storage/sku_images/30665.jpg
18,Arboleda Sauvignon Blanc 2022,https://cav.cl/storage/sku_images/31075.jpg
19,Arboleda Sauvignon Blanc 2020,https://cav.cl/storage/sku_images/28424.jpg
20,Arboleda Sauvignon Blanc 2018,https://cav.cl/storage/sku_images/25887.jpg
21,Arboleda Syrah 2020,https://cav.cl/storage/sku_images/29408.jpg
22,Arboleda Syrah 2021,https://cav.cl/storage/sku_images/31430.jpg
23,Aresti Trisquel Cabernet Sauvignon Gran Reserva 2020,https://cav.cl/storage/sku_images/30757.jpg
24,Aresti Trisquel Series Parras Fundadoras Cabernet Sauvignon Gran Reserva 2020,https://cav.cl/storage/sku_images/30962.jpg
25,Aresti Trisquel Carmenere Gran Reserva 2020,https://cav.cl/storage/sku_images/30533.jpg
26,Aresti Trisquel Ensamblaje Tinto Gran Reserva 2020,https://cav.cl/storage/sku_images/30336.jpg
27,Aresti Family Collection Assemblage 2019,https://cav.cl/storage/sku_images/30961.jpg
28,Aresti Trisquel Gewurztraminer Gran Reserva 2022,https://cav.cl/storage/sku_images/30758.jpg
29,Aresti Trisquel Series Curico Costa Malbec 2020,https://cav.cl/storage/sku_images/29644.jpg
30,Aresti Trisquel Series Curico Costa Malbec 2019,https://cav.cl/storage/sku_images/27598.jpg
31,Aresti Trisquel Serie Merlot Altitud Gran Reserva 2019,https://cav.cl/storage/sku_images/28466.jpg
32,Aresti Trisquel Serie Merlot Altitud Gran Reserva 2020,https://cav.cl/storage/sku_images/30871.jpg
33,Aresti Trisquel Series Vichuquen Costa Pinot Noir 2020,https://cav.cl/storage/sku_images/29332.jpg
34,Aresti Trisquel Series Origen Semillon Gran Reserva 2019,https://cav.cl/storage/sku_images/27372.jpg
35,Baron Philippe De Rothschild Escudo Rojo Origine Cabernet Sauvignon 2019,https://cav.cl/storage/sku_images/29241.jpg
36,Baron Phillippe De Rothschild Mapu Chardonnay 2022,https://cav.cl/storage/sku_images/31007.jpg
37,Besoain Single Vineyard Cabernet Sauvignon 2020,https://cav.cl/storage/sku_images/31364.jpg
38,Bisquertt La Joya C. Sauvignon Gran Reserva 2020,https://cav.cl/storage/sku_images/28094.jpg
39,Bisquertt La Joya Single Vineyard C. Sauvignon 2020,https://cav.cl/storage/sku_images/30027.jpg
40,Bisquertt La Joya Single Vineyard C. Sauvignon 2019,https://cav.cl/storage/sku_images/28335.jpg
41,Bisquertt La Joya Single Vineyard Carmenere 2022,https://cav.cl/storage/sku_images/31656.jpg
42,Bisquertt La Joya Carmenere Gran Reserva 2022,https://cav.cl/storage/sku_images/31592.jpg
43,Bisquertt La Joya Single Vineyard Carmenere 2021,https://cav.cl/storage/sku_images/30767.jpg
44,Bisquertt Q Clay Ensamblaje Tinto 2020,https://cav.cl/storage/sku_images/31268.jpg
45,Bisquertt La Joya Single Vineyard Merlot 2020,https://cav.cl/storage/sku_images/31354.jpg
46,Bisquertt La Joya Single Vineyard Merlot 2019,https://cav.cl/storage/sku_images/29596.jpg
47,Bisquertt La Joya Merlot Gran Reserva 2021,https://cav.cl/storage/sku_images/30885.jpg
48,Bisquertt Petirrojo Sauvignon Blanc 2022,https://cav.cl/storage/sku_images/31437.jpg
49,Bisquertt La Joya Sauvignon Blanc Gran Reserva 2021,https://cav.cl/storage/sku_images/28902.jpg
50,Bisquertt La Joya Syrah Gran Reserva 2020,https://cav.cl/storage/sku_images/28472.jpg
51,Bisquertt La Joya Viognier Gran Reserva 2018,https://cav.cl/storage/sku_images/26416.jpg
52,Blue Wines Bluhands Carignan 2017,https://cav.cl/storage/sku_images/29682.jpg
53,Blue Wines Blu Carignan 2017,https://cav.cl/storage/sku_images/28622.jpg
54,Bowines Carae Carignan 2017,https://cav.cl/storage/sku_images/29022.jpg
55,Septima Obra Malbec 2017,https://cav.cl/storage/sku_images/27628.jpg
56,Bodega Septima Malbec Gran Reserva 2019,https://cav.cl/storage/sku_images/29529.jpg
57,Botijo Rojo Garnacha 2020,https://cav.cl/storage/sku_images/30860.jpg
58,Botijo Blanco Garnacha Blanca 2019,https://cav.cl/storage/sku_images/28702.jpg
59,Salentein Malbec Reserve 2022,https://cav.cl/storage/sku_images/31477.jpg
60,Descomplicados Etiqueta Negra Syrah 2019,https://cav.cl/storage/sku_images/28618.jpg
61,Caiti Lux Series Sauvignon Blanc 2020,https://cav.cl/storage/sku_images/27593.jpg
62,Caliterra Cabernet Sauvignon Reserva 2020,https://cav.cl/storage/sku_images/28380.jpg
63,Caliterra Cabernet Sauvignon Reserva 2021,https://cav.cl/storage/sku_images/30863.jpg
